ticker,yahoo_ticker,name,asset_class,role,region,max_weight,min_weight,include,symbol,resolver_debug,lock_yahoo_ticker,expected_name,note,asset_id,shortName,longName,quoteType,exchange,fullExchangeName,currency,market,country,yahoo_ok,yahoo_symbol_returned,yahoo_symbol_used
ANDR,ANDR.VI,Andritz AG,equity,stock,Cboe Europe,0.25,0.0,1,ANDR,"{""resolved"": null, ""best_score"": null, ""best_rank"": null, ""best_reason"": null, ""best_meta_quoteType"": null, ""best_meta_exchange"": null, ""best_meta_country"": null}",1.0,,,EQH3a1994a6c9cce338,Andritz AG,Andritz AG,EQUITY,VIE,Vienna,EUR,at_market,Austria,True,ANDR.VI,ANDR.VI
ANE,ANE.MC,Corporacion Acciona Energias Renovable SA,equity,stock,Cboe Europe,0.25,0.0,1,ANE,"{""resolved"": null, ""best_score"": null, ""best_rank"": null, ""best_reason"": null, ""best_meta_quoteType"": null, ""best_meta_exchange"": null, ""best_meta_country"": null}",1.0,,,EQH0d768ae1d82a8a1a,CORPORACI...N ACCIONA ENERG...A,"Corporación Acciona Energías Renovables, S.A.",EQUITY,MCE,MCE,EUR,es_market,Spain,True,ANE.MC,ANE.MC
APT-USD,APT21794-USD,APT-USD,crypto,crypto,Binance,0.25,0.0,1,APT-USD,,1.0,Aptos,Quantfury APT is Aptos; Yahoo APT-USD points to a different token :contentReference[oaicite:4]{index=4},CRYPTO:APT-USD,Aptos USD,Aptos USD,CRYPTOCURRENCY,CCC,CCC,USD,ccc_market,,True,APT21794-USD,APT21794-USD
ARB-USD,ARB11841-USD,ARB-USD,crypto,crypto,Binance,0.25,0.0,1,ARB-USD,,1.0,Arbitrum,Quantfury ARB is Arbitrum; Yahoo ARB-USD points to a different token :contentReference[oaicite:5]{index=5},CRYPTO:ARB-USD,Arbitrum USD,Arbitrum USD,CRYPTOCURRENCY,CCC,CCC,USD,ccc_market,,True,ARB11841-USD,ARB11841-USD
BCP,BCP.LS,Banco Comercial Português SA,equity,stock,Cboe Europe,0.25,0.0,1,BCP,"{""resolved"": null, ""best_score"": null, ""best_rank"": null, ""best_reason"": null, ""best_meta_quoteType"": null, ""best_meta_exchange"": null, ""best_meta_country"": null}",1.0,,,EQH638e9072f386a91c,B.C.P.-BCO COMERCIAL PORTUGUES,"Banco Comercial Português, S.A.",EQUITY,LIS,Lisbon,EUR,pt_market,Portugal,True,BCP.LS,BCP.LS
BCU,BC.MI,Brunello Cucinelli S.p.A.,equity,stock,Cboe Europe,0.25,0.0,1,BCU,"{""resolved"": null, ""best_score"": null, ""best_rank"": null, ""best_reason"": null, ""best_meta_quoteType"": null, ""best_meta_exchange"": null, ""best_meta_country"": null}",1.0,,,EQH54c3b8fb05db51c2,BRUNELLO CUCINELLI,Brunello Cucinelli S.p.A.,EQUITY,MIL,Milan,EUR,it_market,Italy,True,BC.MI,BC.MI
BF,BF-B,Brown-Forman Corp.,equity,stock,NYSE,0.25,0.0,1,BF,"{""resolved"": null, ""best_score"": null, ""best_rank"": null, ""best_reason"": null, ""best_meta_quoteType"": null, ""best_meta_exchange"": null, ""best_meta_country"": null}",1.0,,,EQH1c873eb04d6e6f56,Brown Forman Inc,Brown-Forman Corporation,EQUITY,NYQ,NYSE,USD,us_market,United States,True,BF-B,BF-B
BG,BG.VI,BAWAG Group AG,equity,stock,Cboe Europe,0.25,0.0,1,BG,"{""resolved"": null, ""best_score"": null, ""best_rank"": null, ""best_reason"": null, ""best_meta_quoteType"": null, ""best_meta_exchange"": null, ""best_meta_country"": null}",1.0,,,EQH120303863a41794b,BAWAG Group AG,BAWAG Group AG,EQUITY,VIE,Vienna,EUR,at_market,Austria,True,BG.VI,BG.VI
BIM,BIM.PA,BioMerieux SA,equity,stock,Cboe Europe,0.25,0.0,1,BIM,"{""resolved"": null, ""best_score"": null, ""best_rank"": null, ""best_reason"": null, ""best_meta_quoteType"": null, ""best_meta_exchange"": null, ""best_meta_country"": null}",1.0,,,EQHcd3724bf522fa485,BIOMERIEUX,bioMérieux S.A.,EQUITY,PAR,Paris,EUR,fr_market,France,True,BIM.PA,BIM.PA
BNP,BNP.PA,BNP Paribas S.A.,equity,stock,Cboe Europe,0.25,0.0,1,BNP.DE,"{""resolved"": ""BNP.DE"", ""best_score"": 1.0, ""best_rank"": 0, ""best_reason"": ""ok"", ""best_meta_quoteType"": ""EQUITY"", ""best_meta_exchange"": ""GER"", ""best_meta_country"": ""France""}",1.0,,,EQH50d73a921c441fa8,BNP PARIBAS ACT.A,BNP Paribas SA,EQUITY,PAR,Paris,EUR,fr_market,France,True,BNP.PA,BNP.PA
DEC,DEC.PA,JC Decaux S.A.,equity,stock,Cboe Europe,0.25,0.0,1,DEC,"{""resolved"": null, ""best_score"": null, ""best_rank"": null, ""best_reason"": null, ""best_meta_quoteType"": null, ""best_meta_exchange"": null, ""best_meta_country"": null}",1.0,,,EQH0201771c795aa583,JCDECAUX SE,JCDecaux SE,EQUITY,PAR,Paris,EUR,fr_market,France,True,DEC.PA,DEC.PA
DHL,DHL.DE,DHL Group,equity,stock,Cboe Europe,0.25,0.0,1,DHL,"{""resolved"": null, ""best_score"": null, ""best_rank"": null, ""best_reason"": null, ""best_meta_quoteType"": null, ""best_meta_exchange"": null, ""best_meta_country"": null}",1.0,,,EQH95f680aa25ce9cc0,DEUTSCHE POST AG              N,Deutsche Post AG,EQUITY,GER,XETRA,EUR,de_market,Germany,True,DHL.DE,DHL.DE
DIA,DIA,DiaSorin S.p.A.,equity,stock,Cboe Europe,0.25,0.0,1,DIA.MI,"{""resolved"": ""DIA.MI"", ""best_score"": 1.0, ""best_rank"": 3, ""best_reason"": ""ok"", ""best_meta_quoteType"": ""EQUITY"", ""best_meta_exchange"": ""MIL"", ""best_meta_country"": ""Italy""}",1.0,,,EQHfc29d83b5bd2b48f,SPDR Dow Jones Industrial Avera,SPDR Dow Jones Industrial Average ETF Trust,ETF,PCX,NYSEArca,USD,us_market,,True,DIA,DIA
EBS,EBS.VI,Erste Group Bank AG,equity,stock,Cboe Europe,0.25,0.0,1,EBS,"{""resolved"": null, ""best_score"": null, ""best_rank"": null, ""best_reason"": null, ""best_meta_quoteType"": null, ""best_meta_exchange"": null, ""best_meta_country"": null}",1.0,,,EQH8983e683a3475f65,Erste Group Bank AG,Erste Group Bank AG,EQUITY,VIE,Vienna,EUR,at_market,Austria,True,EBS.VI,EBS.VI
EDPR,EDPR.LS,EDP Renovaveis SA,equity,stock,Cboe Europe,0.25,0.0,1,EDPR,"{""resolved"": null, ""best_score"": null, ""best_rank"": null, ""best_reason"": null, ""best_meta_quoteType"": null, ""best_meta_exchange"": null, ""best_meta_country"": null}",1.0,,,EQH971c5b1d51247677,EDP RENOVAVEIS,"EDP Renováveis, S.A.",EQUITY,LIS,Lisbon,EUR,pt_market,Spain,True,EDPR.LS,EDPR.LS
